Date,Mkt-RF,SMB,HML,RF
20230801,-0.34,-0.17,0.31,0.02
20230802,-1.49,-0.18,0.57,0.02
20230803,-0.19,-0.04,0.08,0.02
20230804,-0.48,0.03,0.76,0.02
20230807,0.77,-1.15,0.6,0.02
20230808,-0.47,0.05,0.14,0.02
20230809,-0.78,-0.07,-0.04,0.02
20230810,0.01,-0.32,-0.67,0.02
20230811,-0.11,0.12,0.45,0.02
20230814,0.51,-0.66,-0.77,0.02
20230815,-1.18,0.24,-1.03,0.02
20230816,-0.81,-0.4,-0.14,0.02
20230817,-0.87,-0.32,0.49,0.02
20230818,0.04,0.4,-0.22,0.02
20230821,0.64,-0.68,-0.59,0.02
20230822,-0.32,0.23,-1.04,0.02
20230823,1.08,-0.09,-0.12,0.02
20230824,-1.42,-0.19,0.62,0.02
20230825,0.65,-0.07,-0.57,0.02
20230828,0.63,-0.02,0.41,0.02
20230829,1.5,0.01,-0.12,0.02
20230830,0.41,0.24,-0.46,0.02
20230831,-0.08,-0.22,0.22,0.02
20230901,0.26,0.67,0.58,0.02
20230905,-0.54,-1.35,-0.87,0.02
20230906,-0.71,-0.01,-0.18,0.02
20230907,-0.4,-0.63,0.02,0.02
20230908,0.12,-0.62,0.4,0.02
20230911,0.66,-0.26,-0.52,0.02
20230912,-0.59,-0.25,1.01,0.02
20230913,0.03,-0.79,-0.19,0.02
20230914,0.83,0.23,0.86,0.02
20230915,-1.21,0.15,0.25,0.02
20230918,-0.04,-0.82,-0.18,0.02
20230919,-0.26,-0.12,0,0.02
20230920,-0.95,-0.1,0.26,0.02
20230921,-1.68,0.19,0.38,0.02
20230922,-0.25,0.02,-0.5,0.02
20230925,0.39,-0.1,0.32,0.02
20230926,-1.46,0.4,-0.5,0.02
20230927,0.13,0.69,0.1,0.02
20230928,0.65,0.16,0.03,0.02
20230929,-0.27,-0.04,0.32,0.02
20231002,-0.14,-0.93,-1.05,0.02
20231003,-1.49,-0.33,-0.14,0.02
20231004,0.77,-0.27,-0.37,0.02
20231005,-0.15,0.31,0.1,0.02
20231006,1.21,-0.3,-0.56,0.02
20231009,0.59,-0.31,0.25,0.02
20231010,0.6,0.16,0.63,0.02
20231011,0.33,-0.66,0.38,0.02
20231012,-0.81,-1.47,0.11,0.02
20231013,-0.59,-0.47,0.06,0.02
20231016,1.13,0.61,-0.1,0.02
20231017,0.09,0.87,0.7,0.02
20231018,-1.46,-0.63,-0.18,0.02
20231019,-0.92,-0.5,-0.22,0.02
20231020,-1.32,0.06,-0.15,0.02
20231023,-0.23,-0.26,-0.78,0.02
20231024,0.74,0.25,-0.58,0.02
20231025,-1.57,-0.31,0.85,0.02
20231026,-1.14,0.85,1.68,0.02
20231027,-0.52,-0.35,-0.59,0.02
20231030,1.15,-0.38,0.29,0.02
20231031,0.63,0.05,-0.06,0.02
20231101,0.93,-0.64,-0.02,0.02
20231102,1.94,0.48,1.63,0.02
20231103,1.1,1.61,0.61,0.02
20231106,0.01,-1.07,-0.64,0.02
20231107,0.35,-0.02,-1.22,0.02
20231108,-0.03,-0.82,-0.46,0.02
20231109,-0.89,-1.08,0.49,0.02
20231110,1.49,-0.57,-0.44,0.02
20231113,-0.05,0.15,-0.26,0.02
20231114,2.18,2.99,1.19,0.02
20231115,0.18,-0.05,0.5,0.02
20231116,-0.11,-1.4,-0.3,0.02
20231117,0.25,0.99,0.63,0.02
20231120,0.73,0,-0.29,0.02
20231121,-0.32,-0.8,-0.61,0.02
20231122,0.47,0.21,-0.04,0.02
20231124,0.11,0.59,0.18,0.02
20231127,-0.23,-0.11,-0.09,0.02
20231128,0.05,-0.29,0.04,0.02
20231129,0.01,0.44,0.69,0.02
20231130,0.35,-0.46,0.01,0.02
20231201,0.81,2.06,1.07,0.02
20231204,-0.44,1.4,0.51,0.02
20231205,-0.21,-0.83,-0.83,0.02
20231206,-0.4,0.3,0.32,0.02
20231207,0.81,0.06,0.47,0.02
20231208,0.44,0.01,0.52,0.02
20231211,0.36,-0.39,-0.12,0.02
20231212,0.34,-0.43,-0.88,0.02
20231213,1.54,1.72,1.35,0.02
20231214,0.5,1.11,2.03,0.02
20231215,-0.06,-0.4,-0.57,0.02
20231218,0.42,-0.4,-0.36,0.02
20231219,0.72,1.36,0.69,0.02
20231220,-1.55,-0.37,0.13,0.02
20231221,1.09,0.74,-0.04,0.02
20231222,0.2,0.64,0.1,0.02
20231226,0.48,0.7,0.44,0.02
20231227,0.16,0.13,0.11,0.02
20231228,-0.01,-0.36,0.04,0.02
