Date,HiTec Average Value Weighted Returns
20231213,1.12
20231214,-0.01
20231215,0.43
20231218,0.58
20231219,0.52
20231220,-1.28
20231221,1.13
20231222,0.1
20231226,0.39
20231227,0.01
20231228,0.14
20231229,-0.44
20240102,-2.01
20240103,-0.99
20240104,-0.51
20240105,0.16
20240108,2.5
20240109,0.17
20240110,0.97
20240111,0.14
20240112,0.32
20240116,0.07
20240117,-0.59
20240118,1.71
20240119,2.07
20240122,0.49
20240123,0.5
20240124,0.38
20240125,0.52
20240126,-0.5
20240129,1.09
20240130,-0.64
20240131,-2.55
20240201,1.34
20240202,1.83
20240205,0.06
20240206,-0.12
20240207,1.2
20240208,0.28
20240209,1.22
20240212,-0.48
20240213,-1.64
20240214,1.37
20240215,-0.21
20240216,-1.08
20240220,-0.98
20240221,-0.61
20240222,3.37
20240223,-0.22
20240226,-0.41
20240227,0.31
20240228,-0.57
20240229,1.04
20240301,1.27
20240304,-0.2
20240305,-1.84
20240306,0.73
20240307,1.71
20240308,-1.2
20240311,-0.26
20240312,1.95
20240313,-0.65
20240314,-0.16
20240315,-1.18
20240318,0.95
20240319,0.42
20240320,1.17
20240321,0.19
20240322,0.39
20240325,-0.45
20240326,-0.53
20240327,0.26
20240328,-0.13
20240401,0.31
20240402,-0.77
20240403,0.2
20240404,-1.55
20240405,1.33
20240408,-0.14
20240409,0.28
20240410,-0.76
20240411,1.87
20240412,-1.62
20240415,-1.94
20240416,0.01
20240417,-1.2
20240418,-0.48
20240419,-2.39
20240422,1.08
20240423,1.86
20240424,0.05
20240425,-0.86
20240426,2.38
20240429,-0.12
20240430,-1.96
20240501,-0.54
20240502,1.36
20240503,2.24
20240506,1.39
20240507,-0.28
20240508,0.02
20240509,0.04
20240510,0.31
20240513,0.3
20240514,0.86
20240515,1.9
20240516,-0.21
20240517,-0.15
20240520,0.91
20240521,0.11
20240522,-0.05
20240523,-0.09
20240524,1.05
20240528,0.88
20240529,-0.44
20240530,-2.04
20240531,0.12
20240603,0.72
20240604,0.3
20240605,2.2
20240606,-0.24
20240607,-0.07
20240610,0.26
20240611,1.22
20240612,1.89
20240613,0.52
20240614,0.37
20240617,0.91
20240618,0.25
20240620,-1.09
20240621,-0.35
20240624,-1.33
20240625,1.57
20240626,0.28
20240627,0.23
20240628,-0.62
20240701,0.92
20240702,0.52
20240703,1.11
20240705,0.96
20240708,0.29
20240709,-0.12
20240710,1.35
20240711,-2.15
20240712,0.59
20240715,0.43
20240716,-0.17
20240717,-3.09
20240718,-0.47
20240719,-0.87
20240722,1.67
20240723,0.02
20240724,-3.87
20240725,-0.99
20240726,1.12
20240729,-0.07
20240730,-1.46
20240731,3.04
20240801,-2.28
20240802,-1.99
20240805,-3.63
20240806,1.08
20240807,-1.12
20240808,3.08
20240809,0.69
20240812,0.42
20240813,2.53
20240814,0.21
20240815,2.12
20240816,0.27
20240819,1.37
20240820,-0.26
20240821,0.47
20240822,-1.75
20240823,1.48
20240826,-0.77
20240827,0.34
20240828,-1.14
20240829,-0.43
20240830,0.95
20240903,-3.74
20240904,-0.39
20240905,0.12
20240906,-2.39
20240909,1.13
20240910,1
20240911,2.5
20240912,1.09
20240913,0.58
20240916,-0.39
20240917,0
20240918,-0.3
20240919,2.71
20240920,-0.27
20240923,-0.1
20240924,0.62
20240925,0.2
20240926,0.75
20240927,-0.5
20240930,0.62
20241001,-1.89
20241002,0.35
20241003,0.4
20241004,1.09
20241007,-0.92
20241008,1.72
20241009,0.68
20241010,-0.01
20241011,0.31
20241014,1.1
20241015,-1.18
20241016,0.23
20241017,0.2
20241018,0.44
20241021,0.57
20241022,0.07
20241023,-1.57
20241024,0.2
20241025,0.53
20241028,0.18
20241029,1.09
20241030,-0.63
20241031,-2.91
20241101,0.55
20241104,-0.25
20241105,1.42
20241106,2.63
20241107,1.81
20241108,-0.24
20241111,-0.33
20241112,0.35
20241113,-0.43
20241114,-0.38
20241115,-2.28
20241118,0.36
20241119,1.22
20241120,-0.07
20241121,0.24
20241122,-0.06
20241125,-0.01
20241126,0.67
20241127,-0.86
20241129,0.79
20241202,0.97
20241203,0.69
20241204,1.65
20241205,-0.37
20241206,0.53
20241209,-0.74
20241210,-0.53
20241211,1.75
20241212,-0.52
20241213,0.1
20241216,1.09
20241217,-0.58
20241218,-3.16
20241219,0.06
20241220,1.41
20241223,1.1
20241224,1.02
20241226,0.04
20241227,-1.4
20241230,-1.09
20241231,-0.93
20250102,0.08
20250103,1.56
20250106,1.48
20250107,-2.08
20250108,-0.07
20250110,-1.84
20250113,-0.66
20250114,-0.17
20250115,2.19
20250116,-1.01
20250117,1.4
20250121,0.7
20250122,1.83
20250123,0.23
20250124,-0.52
20250127,-4.34
20250128,2.93
20250129,-0.82
20250130,0.04
20250131,-0.35
20250203,-1.32
20250204,1.33
20250205,0.42
20250206,0.53
20250207,-1.01
20250210,1.18
20250211,-0.13
20250212,-0.13
20250213,1.33
20250214,0.53
20250218,0.15
20250219,-0.02
20250220,-0.29
20250221,-2.32
20250224,-1.15
20250225,-1.4
20250226,0.6
20250227,-3.14
20250228,1.64
20250303,-2.91
20250304,-0.16
20250305,1.42
20250306,-2.54
20250307,1.18
20250310,-4.14
20250311,-0.5
20250312,1.42
20250313,-1.96
20250314,2.79
20250317,0.28
20250318,-1.69
20250319,1.37
20250320,-0.36
20250321,0.57
